Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-15,Life,2017,https://boxd.it/97Cpr3,3.5,,"Solider Sci-Fi Thriller wo es darum geht wie es evtl ausgehen würde wenn man außerirdisches Leben finden würde. Einmal anschauen kann man, aber das wars. Hat einen überraschenden Plottwist.
",,2025-03-14
2025-03-15,Beta Test,2016,https://boxd.it/97CqtJ,1.5,,"Nicht zu verwechseln mit dem 2021 Film der genauso heißt! Sieht sehr stark nach einem Studentenfilm aus von ich ganze zeit vor cringe fast sterben musste wie teilweise kacke es ist. Konnte nicht zuende gucken weil es zu ""schlecht"" wurde. 3/10, nur weil die Idee an sich cool ist
",,2025-03-14
2025-03-15,The Martian,2015,https://boxd.it/97CqYH,4,,"Sehr cooler Film für Leute die in Filmen gerne etwas mitdenken. VIEL wissenschaftsjargon, vergleichbar mit Interstellar. Aber sehenswert ist der Film, alleine weil die Umsetzung und die Schauspieler sehr gut sind
",,2025-03-14
2025-03-15,The Man from U.N.C.L.E.,2015,https://boxd.it/97CrIb,4,,"Wenn man den Film Hobbs & Shaw gemocht hat, wird man diesen Film lieben. Sehr viel besser als erwartet, eine Mischung aus 80er Spionage + Komödie. Die Schauspieler spielen deren Rolle extrem gut
",,2025-03-14
2025-03-15,Moonfall,2022,https://boxd.it/97CsiX,3,,"Coole Idee, teilweise aber ganz ok die umsetzung. Insbesondere die cgi Stellen auf der erde fühlt sich an wie etwas aus dem jahre 2009. Die Szenen im Weltraum ganz cool. Die Geschichte an sich nicht so cool, etwas cringe.
",,2025-03-14
2025-03-15,Ambulance,2022,https://boxd.it/97CtrB,2.5,,"Film an sich ok, aber im großen und ganzen gleiche Idee wie immer beim banküberfall ( action film ). Gefühlt nichts neues. Hab nicht zuende geguckt ( ~70% ) aber die bewertung wäre eine 5/10
",,2025-03-14
2025-03-15,Ambulance,2022,https://boxd.it/97Cy4R,2.5,Yes,"Film an sich ok, aber im großen und ganzen gleiche Idee wie immer beim banküberfall ( action film ). Gefühlt nichts neues. Hab nicht zuende geguckt ( ~70% ) aber die bewertung wäre eine 5/10
",,2025-03-14
2025-03-15,Top Gun: Maverick,2022,https://boxd.it/97CyCT,3.5,,"Ganz cooler Film, sehr realitätsnah gehalten was action angeht. Trotzdem super gespielt. Tom Cruise hat seine Rolle wieder super gespielt. Kann man mal anschauen
",,2025-03-14
2025-03-15,The Tunnel,2011,https://boxd.it/97CzqJ,3,,"Stabiler Found footage horror im stil von einer Doku. Errinert sehr sehr stark an Grave Encounters. Wenn man Grave encounters mochte, wird man wahrscheinlich auch diesen film mögen. Besser wäre, wenn man mehr von dem Monster sehen würde, oder mehr gruseligere Szenen gebe
",,2025-03-14
2025-03-15,The Gray Man,2022,https://boxd.it/97CA03,3.5,,"Ganz ok der Film, einige Schauplätze waren mega gut gemacht. Chris Evans hat die Rolle von dem Bösewicht richtig gut gespielt, und allgemein der Bösewicht wurde gut geschrieben. 0815 Spionage Film mit paar cringe dialogen. Kann man mal gucken
",,2025-03-14
2025-03-15,Carter,2022,https://boxd.it/97CAXp,4,,"Nicht ein Film, sondern ein Wildride. Absolut eine der besten kameraführungen die ich seit längerem gesehen habe. Story ist schwach ( und schwer verständlich ), einige CGI Szenen sind schlecht ( wahrscheinlich wegen niedrigen Budget ) aber der ganze film ist eine große Actionszene. Einmal gucken lohnt sich!",,2025-03-14
